2022-09-27 12:27:41.9228 | 样品1油脂管开始振荡-30s-6rpm 
2022-09-27 12:27:41.9228 | 振荡回零 
2022-09-27 14:43:56.0176 | 样品1油脂管开始振荡-30s-6rpm 
2022-09-27 14:43:56.0186 | 振荡回零 
2022-09-27 14:55:40.2780 | 样品1净化管开始振荡-30s-6rpm 
2022-09-27 14:55:40.2780 | 振荡回零 
2022-09-27 14:56:59.7684 | 振荡回零 
2022-09-27 15:01:32.2267 | 样品3油脂管开始振荡-30s-6rpm 
2022-09-27 15:01:32.2267 | 振荡回零 
2022-09-27 15:11:05.7797 | 样品3净化管开始振荡-30s-6rpm 
2022-09-27 15:11:05.7797 | 振荡回零 
2022-09-27 15:12:24.6438 | 振荡回零 
2022-09-27 15:18:29.0721 | 样品5油脂管开始振荡-30s-6rpm 
2022-09-27 15:18:29.0721 | 振荡回零 
2022-09-27 18:20:32.0189 | 样品1净化管开始振荡-0s-0rpm 
2022-09-27 18:20:32.0189 | 振荡回零 
