2022-10-27 12:12:46.9327 | 振荡回零 
2022-10-27 12:26:31.9043 | 振荡回零 
2022-10-27 12:29:20.5661 | 振荡回零 
2022-10-27 13:04:25.6069 | 振荡回零 
2022-10-27 13:11:20.1746 | 振荡回零 
2022-10-27 13:19:20.9106 | 振荡回零 
2022-10-27 13:22:38.4574 | 振荡回零 
2022-10-27 13:33:12.1897 | 振荡回零 
2022-10-27 13:38:14.9546 | 振荡回零 
2022-10-27 13:51:38.4057 | 振荡回零 
2022-10-27 20:42:20.0219 | 振荡回零 
2022-10-27 20:52:41.4622 | 振荡回零 
2022-10-27 20:58:00.8934 | 样品1开始振荡-60s-420rpm 
2022-10-27 20:58:00.8934 | 振荡回零 
2022-10-27 20:58:44.2637 | 样品1开始振荡-60s-420rpm 
2022-10-27 20:59:24.9573 | 振荡回零 
2022-10-27 21:00:04.7760 | 振荡回零 
2022-10-27 21:02:05.0912 | 样品1开始振荡-60s-420rpm 
2022-10-27 21:02:15.7606 | 振荡回零 
2022-10-27 21:03:08.2014 | 振荡回零 
2022-10-27 21:05:49.0065 | 样品1开始振荡-60s-420rpm 
2022-10-27 21:05:55.6015 | 振荡回零 
2022-10-27 21:07:52.1787 | 振荡回零 
2022-10-27 21:15:05.6243 | 样品1开始振荡-60s-420rpm 
2022-10-27 21:15:05.6243 | 振荡回零 
2022-10-27 21:17:11.7378 | 振荡回零 
2022-10-27 21:21:21.8034 | 样品1开始振荡-60s-420rpm 
2022-10-27 21:22:24.7730 | 振荡回零 
2022-10-27 21:24:45.9897 | 样品2开始振荡-60s-420rpm 
2022-10-27 21:24:45.9897 | 振荡回零 
2022-10-27 21:27:13.5038 | 振荡回零 
2022-10-27 21:29:22.9108 | 样品3开始振荡-60s-420rpm 
2022-10-27 21:29:22.9108 | 振荡回零 
2022-10-27 21:31:52.6724 | 振荡回零 
2022-10-27 21:33:34.0236 | 样品4开始振荡-60s-420rpm 
2022-10-27 21:33:34.0236 | 振荡回零 
2022-10-27 21:36:08.2841 | 振荡回零 
2022-10-27 22:00:29.0501 | 振荡回零 
2022-10-27 22:18:49.7023 | 振荡回零 
2022-10-27 22:32:56.1187 | 样品1开始振荡-60s-420rpm 
2022-10-27 22:32:56.1187 | 振荡回零 
2022-10-27 22:34:33.1896 | 振荡回零 
